brand_id,brand_name,brand_website,brand_description,brand_recipes_url,brand_instagram_link
ee7be8bb-0186-44ed-9c30-ad005b5ca89f,Simple Mills,www.simplemills.com,"Producer of various organic, gluten-free and plant-based food products intended to provide convenient and delicious options for dietary needs. The company's products include crackers, cookies and baking mixes, made with natural ingredients to maximize nutrient density and minimize negative effects on the body, enabling customers to get natural food.",https://www.simplemills.com/Recipes.aspx,https://instagram.com/simplemills
90c47260-58c5-4cd6-a4bd-10181e1f6ab5,Maple Rock Bed & Breakfast,maplerockbandb.com,"Operator of a bed and breakfast in Potsdam, NY, offering five guest rooms with private bathrooms and locally-sourced breakfast. Maple Rock Bed & Breakfast is situated on over 100 acres of land, providing guests with stunning views of nature and wildlife. Additionally, the owner offers cooking classes in their kitchen, emphasizing the use of local, seasonal ingredients to create easily replicable meals.",,
8b299492-94ef-47f5-adf1-81af730c80f2,The Snack Factory,www.snackfactory.com,"Manufacturer of snack food products in the United States. The company distributes its products to supermarkets, delis and club stores and health and natural food stores. It provides bagel chips, pita chips, funnel cakes and pretzel crackers.",https://www.snackfactory.com/recipes/,https://instagram.com/snackfactory
65755fe6-4d10-4056-a408-725384811355,Ramar International,www.ramarfoods.com,"Owner and operator of a food manufacturing company intended to produce and market various food items and dishes. The company's services provide variety Philippines dishes and also provide innovative food products, enabling consumers to enjoy a variety of dishes globally.",,
12336a3f-fced-42c4-85e7-ad70e8801078,Boston Barkery,bostonbarkery.com,"Crafters of all natural dog biscuits and pet boutique based in Boston, Massachusetts. Boston Barkery offers a range of treats, including dog birthday cakes, biscuit boxes, chews, toys, and gifts. Their products are made in the USA and can be found in pet boutiques and specialty shops across the United States. The entity has four locations in Peabody, Burlington, Boston, and Chestnut Hill.",,
65e38784-1d29-4248-becb-b0c49033fc93,Revela Foods,www.revelafoods.com,"Producer of dairy products based in New Berlin, Wisconsin. The company offers a range of processed cheese, melting cheese, cheese spreads and cheese sauces, providing customers with cheese and dairy flavorings for making sandwiches, soups and other such dishes.",,
d5b6843b-767e-49c3-a41e-5aea75682105,Lone Eagle Brewing,loneeaglebrewing.com,"The company primarily operates in the Food Products industry. Lone Eagle Brewing is headquartered in Flemington, NJ.",,
ab092328-e56f-444b-8807-992b950efb47,Purple Carrot,www.purplecarrot.com,"Provider of plant-based meal delivery services intended to empower people to eat more plants. The company's services include the delivery of fresh, pre-portioned ingredients nationwide with step-by-step guidance for people to cook plant-based meals at home, thereby enabling customers to purchase and consume gluten-free and high-protein food.",https://www.purplecarrot.com/plant-based-recipes,https://instagram.com/purplecarrotxo
7d2b5f07-a35b-42f9-8279-21b2c3dcb3e8,Barrel O' Fun Snack Foods,www.barrelofunsnacks.com,"Manufacturer of potato chips based in Perham, Minnesota. The company provides potato chips, kernel corn tortillas, corn chips, cheese puffs, gourmet popcorn and baked potato crisps and are shipped nationwide to retail stores, food service organizations and private label customers.",,
75f93c60-4a71-4d74-9e0a-d51d66eb5953,Datehini,www.datehini.com,"Producer of organic Californian dates recipe intended to provide an authentic taste to the consumers. The company's products are organically produced and paired with ancient tahini forming, a creamy blend of Medjool dates and sesame tahini, enabling consumers to get convenient and healthy food with ease.",https://www.datehini.com/blogs/news/recipe-oatmeal-datehini-bars,https://instagram.com/sepoliorganics
c58da072-faa2-4058-b870-6f11402806cd,Petit Café,petitcafela.com,"Provider of Mediterranean dining experiences designed to offer authentic flavors. The restaurant serves a diverse menu featuring gyros, kabobs, and vegetarian falafels, catering to food enthusiasts in El Segundo. The establishment emphasizes quality by using USDA Choice meats and organic herbs and spices, with daily specials available for both lunch and dinner.",,
23d845b4-dee7-4a74-887f-4fea5fbd44a5,Blackhawk Bakery,blackhawkbakery.com,"Manufacturer and distributor of dinner rolls, Blackhawk Bakery produces four types of dinner rolls, including their premium gourmet flake roll. The family-owned business distributes their rolls to foodservice companies, restaurants, schools, hospitals, country clubs, churches, and other food preparation facilities across 14 different states. Their objective is to provide high-quality dinner rolls at a reasonable price.",,
4f3768c8-a7ec-4bd9-bc87-e228e48054f5,Gimbal Brothers,www.gimbalscandy.com,"Producer of gourmet confections and candies based in Fairfield, California. The company offers gourmet jelly beans, cherry, cinnamon, licorice and seasonal candies and has fully integrated manufacturing capabilities and its production facility which is SQF Level 3 certified.",,
40ffccd2-8278-4bc4-a015-dadc86adb0c5,Penrose Brewing Company,penrosebrewing.com,"Operator of a craft brewery and taproom offering a diverse selection of beers. The establishment produces seasonal and limited release brews, serving local beer enthusiasts and visitors in Geneva, Illinois. Additional offerings include on-site consumption, take-out options, private event hosting, brewery tours, and merchandise.",,
f6b83207-e6b8-48f5-a433-59a217b1fadd,Nuovo Pasta,nuovopasta.com,"Producer and distributor of artisanal pasta and sauces catering to clients in Stratford, Connecticut. The company offers a variety of specialty pasta products, including traditional and innovative flavors, as well as vegan options, all made with a combination of hand-craftsmanship and modern technology.",https://www.nuovopasta.com/recipes/,https://instagram.com/nuovopasta
2f7d26cb-3aff-46f8-8245-ba33385b9fbf,Goodie Girl,www.goodiegirl.com,"Producer of gluten-free cookies and brownies intended to provide delicious and wholesome treats for customers with dietary restrictions. The company's platform offers a variety of gluten-free cookies made with wholesome ingredients, enabling customers to enjoy delicious snacks without compromising their dietary needs.",https://goodiegirl.com/blogs/recipes,https://instagram.com/goodiegirlcookies
d53c1384-d101-4093-8e51-5e6060831ecb,touch pro pos systems,gotouchpro.com,"The company primarily operates in the Food Products industry. touch pro pos systems was founded in 1997 and is headquartered in Garnet Valley, PA.",,
79810222-333a-45ba-9d25-9d216a84818c,EPIC Provisions,www.epicprovisions.com,"Producer of protein bars intended for conventional fertilizing practices. The company offers grass-fed animal-based protein bars and snacks that are paleo-friendly, gluten-free and low in sugar and significantly less fossil fuel than a feedlot diet consisting of corn, soy, antibiotics and hormones.",https://epicprovisions.com/blogs/recipes/chocolate-chip,https://instagram.com/epicbar
3a4d6747-0538-4d4b-abb3-2d36dfc63958,Bar Harbor Foods,www.barharborfoods.com,"Producer of specialty seafood based in Machias, Maine. The company offers seafood gourmet products, specialty food, gourmet gift baskets, caviar, desserts and pastries, fiery foods, soups, stock, oils and vinegar.",https://barharborfoods.com/recipes/,https://instagram.com/barharborfoods
27acc240-41d6-4211-ac87-ef5654cb82d6,Greenlanternlounge,greenlanternlounge.com,"The company primarily operates in the Food Products industry. Greenlanternlounge is headquartered in Madison Heights, MI.",,
d3105ab7-0be8-49d4-842a-bc7d9ff46c1f,Zack's Mighty,www.zacksmighty.com,"Manufacturer of chips intended to create delicious tortilla chips that don't break in guacamole. The company makes its product using a traditional, tortilla-first process, giving each chip the strength to lift guacamole, enabling consumers with chips made of organic, non-GMO, yellow corn that doesn't break when dipped.",https://zacksmighty.com/pages/rolled-tortilla,https://instagram.com/zacksmighty
27546156-682a-4856-9c1a-dae5408d3de6,Divine Cuisine Event Planning & Catering,divinecuisineevents.com,"The company primarily operates in the Food Products industry. Divine Cuisine Event Planning & Catering was founded in 2007 and is headquartered in Washington, DC.",,
f94d416c-fd00-4934-a266-f5fdf5f8754d,Sisters Meat & Smokehouse,sistersmeat.com,"The company primarily operates in the Food Products industry. Sisters Meat & Smokehouse was founded in 2016 and is headquartered in Sisters, OR.",https://sistersmeat.com/recipes/,https://instagram.com/sisterssmokehouse
59fc1fb8-46ba-4ed2-bfd2-b0119bc55a35,Catanzaro Food Products,catanzarofoodproducts.com,"The company primarily operates in the Food Products industry. Catanzaro Food Products is headquartered in Pawtucket, RI.",,
4d2b6b1a-78fa-4c67-abde-e97e6bdd382d,Satura Cakes,saturacakes.com,"Operator of a patisserie specializing in cakes and pastries, designed to provide delightful treats for celebrations. The business offers signature cakes, animal cakes, and a variety of desserts, serving customers in the local community. Utilizing Japanese and European baking techniques, it also provides personalized services such as wedding cake consultations and tastings.",,
9056eb91-26ba-4763-bdef-23d037894635,Independent Marketing Alliance,imaforce.com,"The company primarily operates in the Food Products industry. Independent Marketing Alliance was founded in 2001 and is headquartered in Houston, TX.",,
422b7d30-91be-4508-90b6-5c76ca8226ab,Yummy Mummy Bakery,yummymummybakery.com,"Provider of gourmet brownie products designed to satisfy sweet cravings. The bakery offers from-scratch brownies, serving individual customers, event planners, and local retailers. Catering services, mail order, custom orders, and participation in farmers' markets enhance their accessibility and community presence.",,
8402e36b-e3f7-4dc7-a9c2-fbdb884ae7ee,Epicurean Butter,www.epicureanbutter.com,"Producer of infused butter intended to provide sweet and savory finishing butter for home chefs. The company offers butter products to in-store bakeries, meal kits, traditional groceries and restaurants, thereby enhancing the quality and taste of steaks, vegetables and garlic bread.",https://epicureanbutter.com/blogs/recipes,https://instagram.com/epicureanbutter
db5e0496-7b6a-4bfc-97fd-f001ed6d4378,Rio Grande Foods,riograndefoods.com,"Manufacturer and distributor of Hispanic food products, offering a wide range of bakery items, beverages, canned/jarred goods, dairy products, frozen food, grains, snacks, and sweets. Rio Grande Foods operates a modern factory with state-of-the-art machinery and technology, serving customers and consumers in 32 states in the United States and Canada.",https://www.riograndefoods.com/recipes/,https://instagram.com/riograndefoods
024f3c44-656a-4bbc-b5d2-23d5d9e8e98d,Sugarman of Vermont,www.sugarmanofvermont.com,"Producer of craft maple products intended to serve the food service and hospitality industries. The company sources raw maple syrup from producers and then blends, pasteurizes and bottles the syrup into a wide range of size configurations, enabling clients to offer natural and healthy food products to their customers.",https://sugarmanofvermont.com/maple-recipes/,https://instagram.com/sugarmanofvermont
ff0d915e-9389-4dff-b936-9caefac934df,Seltzer's Smokehouse Meats,seltzerssmokehousemeats.com,"The company primarily operates in the Food Products industry. Seltzer's Smokehouse Meats was founded in 1902 and is headquartered in Palmyra, PA.",https://www.seltzerssmokehousemeats.com/recipe/,https://instagram.com/seltzerssmokehousemeats
c707b388-70c8-4454-99cf-4329e31e570e,Alexia Foods,www.alexiafoods.com,"Producer of frozen breads, appetizers, and potato items. The company's products include potato nuggets, chicken nuggets, pizza snacks, mashed potatoes, oven fries and oven reds, julienne fries, waffle fries, onion rings, hashed browns, and oven crinkles. It also offers Alexia chicken fingers, Meatloaf and Alexia potatoes, Alexia artichoke dips, roasted chicken with artichokes and olives, tomato dipping sauces, dipping sauces, chicken dijon and potatoes, yogurt and dill dips, and crab cakes and potatoes. It sells its products through grocery stores in the United States.",https://www.alexiafoods.com/recipes,https://instagram.com/alexiafoods
7f8dcb45-ccd5-4ba2-917f-0f06957465bd,Kegmeisters,kegmeisters.com,Operator of a keg reservation and management platform that offers real-time information on keg location and availability. The platform enables customers to order kegs online and provides visibility into available beer inventory. The company has collaborated with brewers and beer tenders to develop their system.,,
afc147d7-418c-42ed-ba41-53695bee7609,Hospitality Mints,www.hospitalitymints.com,"Manufacturer and supplier of custom-imprinted and packaged mints and candies based in Boone, North Carolina. The company offers wide range of soft and hard mints and candies, including soft butter mints, pastels, peppermints, jellies, and ice crystals, as well as the Party Sweets brand of mint items sold at retailers across the country.",,
3d841ce5-e2b0-4cfb-82a3-a4da6df35256,Amerisal Foods,www.samerisalfoods.com,"Provider of Central American food products intended to give people authentic food products. The company provides a range of frozen and deli items, beans, drinks, cheeses, creams, and other food products from Central America, enabling customers to eat healthy foods that are handmade and without preservatives.",https://www.samerisalfoods.com/recipes,https://instagram.com/amerisalfoods
6434216f-0640-485d-a5b8-ab23de52132e,Ready Seafood,www.readyseafood.com,"Distributor of live lobster and frozen lobster based out of Saco, Maine. The company engages in sales and storage of lobster products, including fresh, frozen, and processed lobster meat, whole frozen lobster and frozen lobster tails.",https://www.readyseafood.com/recipes,https://instagram.com/readyseafood
e9d739ef-817e-4a09-8734-5d88fb5c76fd,Esti Foods,www.estifoods.com,"Owner and operator of a food and beverage company intended to offer a full-line of non-GMO, Mediterranean products. The company's food products are controlled and monitored throughout the entire process, starting from the birth in the farm to the moment it is placed in the shelf of local market and all its flavors originate from natural, Greek ingredients which are hand-selected daily, enabling users to make their food decisions easier, healthier and tastier while respecting the human and natural sustainability.",https://estifoods.com/recipes/,https://instagram.com/esti_foods
09e23f1d-78f3-4559-b5d3-beb61bf36bc4,Ript Grills,riptgrills.com,"The company primarily operates in the Food Products industry. Ript Grills was founded in 2021 and is headquartered in Mount Pleasant, IA.",,
5abe23f2-ae87-4533-9bdf-b50d972e50b6,Big Wave Eats,bigwaveeats.com,"Operator of a prepared meal service located in Jersey City, NJ. The Line Up | Big Wave Eats provides a diverse selection of meals, including specialty options. Customers can place orders through email or direct message on Instagram.",https://bigwaveeats.com/recipes,https://instagram.com/bigwaveshrimp
68315e84-9c6a-41ee-9796-09d6b12afb5a,Xocolatl Small Batch Chocolate,xocolatlchocolate.com,"Producer of small-batch craft chocolate designed to create unique and flavorful chocolate experiences. The company manufactures various chocolate products, serving chocolate enthusiasts and gift buyers. Their offerings include flavored and single-origin chocolate bars, chocolate subscriptions, corporate gifts, and tasting events. The company sources cacao from diverse origins to enhance the quality and taste of its products.",https://xocolatlchocolate.com/pages/recipes,https://instagram.com/xocolatlchocolate
